funder_id,name,proposed_domain,source,person_hits,distinct_candidates
recmV4G5IO4AYhWeo,1954 Project,1954project.org,A_website,,
recRGn3fb67g5TCuH,20/22 Act Society,the2022actsociety.org,A_website,,
rec4JJEkYctrZuJKS,A. James & Alice B. Clark Foundation,clarkfoundationdc.org,A_website,,
reco5HEjw6pHply0l,Achelis Bodman Foundation,achelisbodman.org,A_website,,
rec4s7jWoCgftKpkw,American Honda Foundation,honda.com,A_website,,
recq7yha1yBoGG8fO,Arrow Impact,arrowimpact.org,A_website,,
recAbTEI58Lfa3OvX,Braitmayer Foundation,braitmayerfoundation.org,A_website,,
rec2VXxLTPqGMbxQs,CNote,mycnote.com,A_website,,
recZdWtberDoOO7hw,Cargill Foundation,cargill.com,A_website,,
recqA9VCwapHJfb8R,Child Trust Foundation,investorsmanagement.com,A_website,,
reclgBLr7ZcyZCRBU,Combined Jewish Philanthropies,ma.cjp.org,A_website,,
recgkkqmXcEhlBUVv,Common Future,commonfuture.co,A_website,,
reccgVeKcEBXDvU2W,Crown Family Philanthropies,crownfamilyphilanthropies.org,A_website,,
recq0QsP9ME9amcrE,Cummings Foundation,cummingsfoundation.org,A_website,,
recO5xEOVmgdiQlcK,Dalio Philanthropies,daliophilanthropies.org,A_website,,
recxZDnsXU99LvMhH,Doyle Foundation,doylefound.org,A_website,,
recPcoURCm67ssiAF,Duke Endowment,dukeendowment.org,A_website,,
rec14pJ2GxEA8rDBL,Early Milestones (CO LISC),earlymilestones.org,A_website,,
reckVfrH75qgokbaq,Essex County Community Foundation,eccf.org,A_website,,
recdkvBaqgE7eJZNY,ExxonMobil Foundation,corporate.exxonmobil.com,A_website,,
recgGc197VCO00waR,Fondos Unidos De Puerto Rico Inc (United Way of Puerto Rico),fondosunidos.org,A_website,,
rec3zU1ZUMigqTFzo,Ford Foundation,fordfoundation.org,A_website,,
recgSuQRMT6pQGVsx,Frances R. Dewing Foundation,frd-foundation.org,A_website,,
recN1rSZ0tbClSonm,Fundación Angel Ramos,farpr.org,A_website,,
recG2o8xPREFpO9Hu,Gordon and Betty Moore Foundation,moore.org,A_website,,
recTDDBChd7Kj1kvj,Grotto Foundation,grottofoundation.org,A_website,,
rec7MEOXoDRcZE9mg,Halloran Foundation,halloranphilanthropies.org,A_website,,
rec2AlbH7vWI5G7Jl,Heising-Simons Foundation,hsfoundation.org,A_website,,
recZ5xVNGBwZbvYM9,Henry & Marilyn Taub Foundation,taubfoundation.org,A_website,,
reccDfSwXWDBbSOc9,Hershey Foundation,fdnweb.org,A_website,,
recdgnW0BciYIYXiB,Howard and Geraldine Polinger Family Foundation,polingerfoundation.org,A_website,,
recBRal8Sl60xjJXb,Innospark Ventures,innosparkventures.com,A_website,,
recE6qWugJBQiNsFE,Irene S. Scully Foundation,irenescullyfoundation.org,A_website,,
recAOhtUuOMBzwBKS,J. Willard and Alice S. Marriott Foundation,marriottfoundation.org,A_website,,
recYbLLW22yBicZPC,J.W. Couch Foundation,jwcouchfoundation.org,A_website,,
recXuybHTYJfcR5bd,Kettering Family Philanthropies,cfketteringfamilies.com,A_website,,
recAztoziU0TSMCSC,Kovner Foundation,thekovnerfoundation.org,A_website,,
recJ4YgOlSVvK5Q8J,Lego Foundation,legofoundation.com,A_website,,
recM5ACTuOUBUfgvL,Liberty Mutual Foundation,libertymutualgroup.com,A_website,,
recQ0c8IZn2PVx6lq,Los Alamos National Laboratory Foundation,lanlfoundation.org,A_website,,
recZuFyPRW9Y56hSY,McDougal Family Foundation,mcdougalfamilyfdn.org,A_website,,
recpNnz3GOjBx7hg6,McQuade Foundation,mcquadefoundation.org,A_website,,
recMUNplLaNNmdckk,Michael and Susan Dell Foundation,msdf.org,A_website,,
recBJDVpZ4mPVkUWA,Mifflin Memorial Fund,mifflinmemorialfund.org,A_website,,
reczrCZpbTOUH8WX3,Network for Good,networkforgood.org,A_website,,
rec9zMRyIWMLo3u2x,NoVo Foundation,novofoundation.org,A_website,,
recPwKZsfXaGDyH7F,Oak Foundation,oakfnd.org,A_website,,
recw3xGEgHdyUWIj6,One Hope Foundation,onehopefoundation.org,A_website,,
recIviLr9TulwG4wO,Open Society Foundation,opensocietyfoundations.org,A_website,,
recN7nQsBK4I2m27n,Opportunity Finance Network,ofn.org,A_website,,
rec5cEfEbF3ddtiBK,Pearl Milling / Pearl Milling Foundation,pearlmillingcompany.com,A_website,,
recm1f6oPTtjEo7kI,Rainwater Foundation,rainwatercharitablefoundation.org,A_website,,
rec1SaRM88U11CtQr,Siegel Family Endowment,siegelendowment.org,A_website,,
recqxge0uogT633KM,Spencer Foundation,spencer.org,A_website,,
recO1a8elm62edQol,State Street Foundation,statestreet.com,A_website,,
recy0LBzqzCiZOeZs,Tom-Zamudio Abundance Fund,tides.org,A_website,,
recVG0lspJZAYEjyg,Transparent Classroom,transparentclassroom.com,A_website,,
recGN5mclClcgUkrG,Vela Education Fund,velaedfund.org,A_website,,
recktX5dydZn6egYg,W. Clement & Jessie V. Stone Foundation,wcstonefnd.org,A_website,,
recbzxIRu9PRjy4z6,WCA Foundation,wcafoundation.org,A_website,,
rec4tXKuRxQkBXwsb,Wildcard Giving,wildcardgiving.org,A_website,,
recXREyBLSmRvjStO,William T. Grant Foundation,wtgrantfoundation.org,A_website,,
recR9sH1cKQ75k41d,Zoma Foundation,zomalab.com,A_website,,
recdLZi8YOYYnXD3I,228 Accelerator,228accelerator.com,B_people_namegated,1,1
recO1a4v2LFh45hjc,Amelia Peabody Foundation,ameliapeabody.org,B_people_namegated,1,1
recuIj886fLrpXsFg,BGC3,bgc3.com,B_people_namegated,1,1
recUisZkP8YMJLhJ2,Best Buy,bestbuy.com,B_people_namegated,1,1
recnm2h7JgY1Ol7v4,Blue Meridian Partners,bluemeridian.org,B_people_namegated,4,4
rec3RspE0Ns70ouVE,Borealis Philanthropy,borealisphilanthropy.org,B_people_namegated,1,1
recbQ5PwgWFk3Mcik,Broadridge Financial Solutions,broadridge.com,B_people_namegated,1,1
reczA7EaeN0TIi7oh,Buffett Early Childhood Fund,buffettearly.org,B_people_namegated,2,1
rec8G7hs656cPTtur,California Infrastructure & Economic Development Bank (IBANK),ibank.ca.gov,B_people_namegated,1,1
recI71hoGQhOywpO1,Calvert Impact Capital,calvertimpactcapital.org,B_people_namegated,2,1
rec4TFaLImXawF7Kl,City Of Boston,boston.gov,B_people_namegated,2,1
rec5CpFocdMBBuGOp,City of Ponce,ponce.pr.gov,B_people_namegated,2,1
recBVmRYTixikz43w,City of Tempe,tempe.gov,B_people_namegated,1,1
recuSRHzEUXW458Nv,Crankstart Foundation,crankstart.org,B_people_namegated,1,1
recmLKnyruj5HqfeK,Donaldson Foundation,donaldson.com,B_people_namegated,1,1
recSAxKVCwYWDGXSL,Eastern Bank / Eastern Bank Foundation,easternbank.com,B_people_namegated,3,2
rec56v5anV8D4xP9l,Fidelity Foundations,fidelityfoundation.org,B_people_namegated,5,4
recvvafnFKBteSAHG,Grable Foundation,grable.org,B_people_namegated,1,1
rece3zumgWIUbZrG4,Hager Advisors,hageradvisors.com,B_people_namegated,1,1
reckqt7d0B37fAvNt,Kresge Foundation,kresge.org,B_people_namegated,2,2
reclTKIuF62GjzRNM,Lazard Asset Management / Lazard Foundation,lazard.com,B_people_namegated,2,1
recSRkwSJLvfyCTcd,Lemnis Foundation,lemnis.org,B_people_namegated,1,1
recvgfFefvbToGM1J,Lyra Colorado,lyracolorado.org,B_people_namegated,1,1
recFTUyJEcuTi5t20,NYC Mayor's Office of Contract Services (MOCS),mocs.nyc.gov,B_people_namegated,2,1
recSwPSZWJEXI7ye2,Overdeck Family Foundation,overdeck.org,B_people_namegated,6,3
rechBkBNQM8J2B6do,STOP Foundation for Education / The Yass Prize,yassprize.org,B_people_namegated,3,2
recRbhrItqhQuGLsU,Sobrato Philanthropies,sobrato.org,B_people_namegated,1,1
recLLpvDq7h59Bxae,State Farm,statefarm.com,B_people_namegated,1,1
recVi7SyeiZAbGz1S,State of Colorado,state.co.us,B_people_namegated,1,1
recIYhDP1ZVsFjwiq,Stearns Bank,stearnsbank.com,B_people_namegated,1,1
reca2R9QW30oJlaqM,Step Change Partners,stepchangepartners.org,B_people_namegated,1,1
rec8dBgggryqB3kg8,Suncor Energy Foundation,suncor.com,B_people_namegated,1,1
recSORMivtRyps0sL,Think Small,thinksmall.org,B_people_namegated,1,1
recqQFfnPZzTOmvMU,Tipping Point Community Foundation,tippingpoint.org,B_people_namegated,1,1
recNdB6fN3QqGNjqN,Virginia Montessori Association,virginiamontessoriassociation.org,B_people_namegated,2,1
recXEOSs6WtRD458W,"Visionary Home Builders of CA, Inc.",visionaryhomebuilders.org,B_people_namegated,1,1
recN0UR25AugM9VPS,Walser Foundation,walser.com,B_people_namegated,1,1
